                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    157,                0.55973,                0.26702,                0.82179,                0.98263,                0.97966,                0.99227,                0.84791,                0.45299,                0.21002,                0.88258,              0.0038224,              0.0038224,              0.0038224
                    158,                0.55516,                0.26505,                 0.8213,                0.98247,                0.97971,                0.99238,                0.84832,                0.45253,                0.20945,                0.88271,              0.0037828,              0.0037828,              0.0037828
                    159,                0.55824,                0.26524,                0.82127,                0.98339,                0.97859,                0.99236,                0.84819,                0.45239,                0.20968,                0.88272,              0.0037432,              0.0037432,              0.0037432
                    160,                0.55392,                0.26394,                0.82042,                0.98404,                0.97792,                0.99239,                 0.8481,                0.45266,                0.20971,                0.88298,              0.0037036,              0.0037036,              0.0037036
                    161,                0.55611,                0.26478,                0.82044,                0.98205,                0.97982,                0.99233,                0.84809,                0.45223,                0.20922,                0.88311,               0.003664,               0.003664,               0.003664
                    162,                0.55684,                0.26465,                0.82017,                0.98229,                0.97978,                0.99231,                0.84798,                0.45184,                0.20921,                0.88323,              0.0036244,              0.0036244,              0.0036244
                    163,                0.55176,                0.26281,                0.81846,                0.98205,                0.98018,                0.99223,                 0.8484,                0.45161,                 0.2094,                0.88325,              0.0035848,              0.0035848,              0.0035848
                    164,                 0.5498,                0.26145,                0.81976,                0.98192,                0.98023,                0.99226,                0.84806,                 0.4516,                0.20935,                0.88351,              0.0035452,              0.0035452,              0.0035452
                    165,                0.54885,                0.26137,                0.81906,                0.98166,                0.98038,                0.99227,                0.84815,                0.45158,                0.20958,                 0.8835,              0.0035056,              0.0035056,              0.0035056
                    166,                0.54471,                0.26004,                 0.8197,                0.98165,                0.98037,                0.99226,                0.84786,                0.45178,                0.20969,                0.88348,               0.003466,               0.003466,               0.003466
                    167,                0.54487,                0.26078,                0.81878,                0.98139,                0.98035,                0.99218,                0.84824,                0.45176,                0.21021,                0.88361,              0.0034264,              0.0034264,              0.0034264
                    168,                0.54374,                0.25954,                0.82003,                0.98189,                0.98014,                 0.9922,                0.84816,                0.45174,                0.21011,                0.88356,              0.0033868,              0.0033868,              0.0033868
                    169,                0.54347,                0.25916,                0.81983,                0.98199,                0.98004,                0.99223,                0.84811,                0.45183,                0.21048,                0.88369,              0.0033472,              0.0033472,              0.0033472
                    170,                 0.5446,                0.25977,                0.81814,                0.98204,                0.97983,                0.99221,                 0.8481,                0.45187,                0.21052,                 0.8838,              0.0033076,              0.0033076,              0.0033076
                    171,                0.54376,                0.25867,                0.81937,                0.98232,                0.97982,                0.99225,                0.84801,                  0.452,                 0.2106,                0.88375,               0.003268,               0.003268,               0.003268
                    172,                0.54024,                0.25714,                0.81824,                  0.982,                0.98021,                0.99223,                0.84809,                0.45195,                0.21071,                0.88386,              0.0032284,              0.0032284,              0.0032284
                    173,                0.53995,                0.25698,                0.81851,                 0.9825,                0.98004,                 0.9922,                 0.8479,                0.45217,                0.21103,                0.88382,              0.0031888,              0.0031888,              0.0031888
                    174,                0.54239,                0.25774,                0.81871,                0.98231,                0.98047,                0.99219,                0.84795,                0.45214,                0.21114,                0.88398,              0.0031492,              0.0031492,              0.0031492
                    175,                 0.5364,                0.25624,                0.81794,                0.98218,                0.98054,                0.99217,                  0.848,                0.45217,                0.21122,                 0.8841,              0.0031096,              0.0031096,              0.0031096
                    176,                0.53796,                0.25617,                0.81815,                 0.9835,                0.97906,                0.99221,                0.84804,                0.45239,                0.21118,                0.88421,                0.00307,                0.00307,                0.00307
                    177,                0.53411,                0.25475,                0.81742,                0.98335,                0.97961,                 0.9922,                0.84789,                0.45285,                0.21143,                0.88434,              0.0030304,              0.0030304,              0.0030304
                    178,                0.53787,                0.25592,                0.81782,                0.98319,                0.97976,                0.99225,                0.84758,                0.45325,                0.21152,                0.88442,              0.0029908,              0.0029908,              0.0029908
                    179,                0.53718,                 0.2557,                 0.8164,                0.98361,                0.97942,                0.99218,                0.84764,                0.45344,                0.21175,                0.88444,              0.0029512,              0.0029512,              0.0029512
                    180,                0.53517,                0.25494,                0.81849,                0.98261,                0.98053,                0.99221,                 0.8475,                0.45346,                0.21198,                 0.8845,              0.0029116,              0.0029116,              0.0029116
                    181,                 0.5344,                 0.2541,                0.81789,                0.98263,                0.98023,                0.99219,                0.84768,                0.45347,                0.21198,                0.88451,               0.002872,               0.002872,               0.002872
                    182,                0.53237,                0.25272,                0.81696,                0.98357,                0.97951,                0.99215,                0.84774,                0.45341,                0.21204,                0.88456,              0.0028324,              0.0028324,              0.0028324
                    183,                 0.5384,                0.25513,                0.81674,                0.98398,                0.97904,                0.99212,                0.84792,                0.45326,                0.21194,                0.88458,              0.0027928,              0.0027928,              0.0027928
                    184,                0.53107,                0.25246,                 0.8161,                 0.9839,                0.97904,                0.99211,                  0.848,                0.45323,                0.21205,                0.88468,              0.0027532,              0.0027532,              0.0027532
                    185,                0.53434,                0.25284,                0.81538,                0.98396,                0.97917,                0.99212,                0.84799,                0.45331,                0.21227,                0.88473,              0.0027136,              0.0027136,              0.0027136
                    186,                0.52656,                0.25097,                0.81566,                0.98371,                0.97947,                0.99213,                0.84821,                0.45323,                0.21238,                0.88478,               0.002674,               0.002674,               0.002674
                    187,                0.52379,                0.24926,                0.81584,                0.98335,                0.98018,                0.99211,                0.84819,                 0.4533,                0.21239,                0.88484,              0.0026344,              0.0026344,              0.0026344
                    188,                0.52483,                0.24842,                0.81656,                0.98336,                0.98011,                0.99206,                0.84809,                0.45325,                0.21269,                0.88491,              0.0025948,              0.0025948,              0.0025948
                    189,                0.52579,                0.24861,                0.81599,                0.98361,                0.97975,                0.99205,                0.84787,                0.45335,                0.21287,                0.88503,              0.0025552,              0.0025552,              0.0025552
                    190,                0.52763,                0.24966,                0.81536,                0.98333,                0.98012,                0.99206,                0.84827,                0.45336,                0.21282,                0.88505,              0.0025156,              0.0025156,              0.0025156
                    191,                0.52619,                0.24948,                0.81417,                0.98321,                0.98018,                0.99203,                0.84803,                0.45357,                0.21317,                0.88509,               0.002476,               0.002476,               0.002476
                    192,                0.52549,                0.24987,                0.81643,                0.98306,                0.98031,                0.99203,                0.84818,                0.45357,                0.21304,                0.88518,              0.0024364,              0.0024364,              0.0024364
                    193,                0.52396,                0.24871,                0.81423,                0.98311,                0.98034,                0.99202,                0.84812,                0.45353,                0.21284,                0.88528,              0.0023968,              0.0023968,              0.0023968
                    194,                0.52638,                0.24932,                0.81463,                0.98316,                 0.9803,                0.99202,                0.84828,                0.45358,                0.21308,                0.88535,              0.0023572,              0.0023572,              0.0023572
                    195,                0.52384,                0.24912,                0.81351,                0.98313,                0.98038,                0.99209,                0.84832,                0.45357,                0.21324,                0.88549,              0.0023176,              0.0023176,              0.0023176
                    196,                0.52227,                0.24805,                0.81492,                0.98313,                0.98038,                0.99208,                0.84827,                0.45381,                0.21342,                0.88564,               0.002278,               0.002278,               0.002278
                    197,                0.52269,                 0.2474,                0.81369,                0.98312,                0.98033,                0.99197,                0.84851,                0.45387,                0.21366,                0.88582,              0.0022384,              0.0022384,              0.0022384
                    198,                0.51767,                0.24552,                0.81334,                0.98308,                0.98049,                  0.992,                 0.8484,                0.45385,                0.21366,                0.88586,              0.0021988,              0.0021988,              0.0021988
                    199,                0.51487,                0.24453,                0.81501,                0.98309,                0.98043,                0.99195,                0.84861,                0.45379,                0.21375,                0.88601,              0.0021592,              0.0021592,              0.0021592
                    200,                 0.5171,                0.24524,                0.81559,                0.98296,                0.98049,                0.99199,                0.84864,                0.45387,                0.21393,                0.88613,              0.0021196,              0.0021196,              0.0021196
                    201,                0.51341,                0.24398,                0.81338,                0.98292,                0.98059,                0.99206,                 0.8486,                0.45404,                0.21397,                0.88611,                0.00208,                0.00208,                0.00208
                    202,                0.51847,                0.24574,                0.81377,                0.98281,                0.98064,                0.99207,                 0.8487,                0.45393,                 0.2142,                0.88607,              0.0020404,              0.0020404,              0.0020404
                    203,                0.51556,                0.24488,                0.81308,                0.98292,                0.98059,                0.99205,                0.84858,                0.45425,                0.21436,                0.88618,              0.0020008,              0.0020008,              0.0020008
                    204,                0.51356,                0.24346,                0.81462,                0.98302,                0.98059,                0.99205,                0.84847,                0.45445,                0.21446,                0.88632,              0.0019612,              0.0019612,              0.0019612
                    205,                0.51354,                0.24292,                0.81246,                0.98294,                0.98054,                0.99198,                0.84869,                0.45429,                0.21475,                0.88634,              0.0019216,              0.0019216,              0.0019216
                    206,                0.50896,                0.24109,                0.81247,                0.98301,                0.98069,                0.99202,                0.84869,                0.45443,                0.21467,                0.88641,               0.001882,               0.001882,               0.001882
                    207,                0.50901,                0.24098,                0.81323,                0.98324,                0.98038,                0.99199,                0.84843,                 0.4545,                 0.2147,                0.88646,              0.0018424,              0.0018424,              0.0018424
                    208,                0.51043,                0.24166,                0.81125,                0.98302,                0.98079,                0.99203,                0.84851,                0.45428,                0.21452,                0.88645,              0.0018028,              0.0018028,              0.0018028
                    209,                0.50703,                0.24059,                0.81254,                0.98312,                0.98053,                0.99204,                0.84859,                0.45429,                0.21439,                 0.8865,              0.0017632,              0.0017632,              0.0017632
                    210,                0.50569,                0.23999,                0.81294,                0.98317,                0.98045,                0.99195,                0.84849,                 0.4544,                0.21479,                0.88656,              0.0017236,              0.0017236,              0.0017236
                    211,                0.51128,                0.24165,                0.81087,                0.98322,                0.98057,                0.99206,                0.84867,                0.45451,                0.21495,                0.88669,               0.001684,               0.001684,               0.001684
                    212,                0.50371,                0.23881,                0.81163,                0.98327,                 0.9806,                0.99208,                0.84876,                0.45449,                0.21503,                0.88677,              0.0016444,              0.0016444,              0.0016444
                    213,                0.50185,                0.23772,                0.81121,                  0.983,                  0.981,                0.99207,                0.84888,                0.45446,                0.21539,                0.88693,              0.0016048,              0.0016048,              0.0016048
                    214,                 0.5003,                 0.2362,                0.81143,                0.98303,                0.98104,                 0.9921,                0.84916,                0.45443,                0.21541,                0.88696,              0.0015652,              0.0015652,              0.0015652
                    215,                0.50272,                0.23726,                0.81068,                0.98308,                0.98104,                0.99211,                0.84914,                0.45453,                0.21558,                0.88708,              0.0015256,              0.0015256,              0.0015256
                    216,                0.50181,                0.23679,                0.81109,                0.98312,                0.98092,                 0.9921,                0.84908,                 0.4547,                0.21577,                0.88717,               0.001486,               0.001486,               0.001486
                    217,                0.49885,                0.23588,                0.80988,                0.98303,                0.98105,                0.99204,                0.84934,                 0.4547,                0.21598,                0.88727,              0.0014464,              0.0014464,              0.0014464
                    218,                0.50168,                0.23654,                0.80953,                0.98298,                0.98111,                0.99209,                0.84911,                0.45475,                0.21634,                0.88726,              0.0014068,              0.0014068,              0.0014068
                    219,                0.49586,                0.23424,                   0.81,                0.98348,                0.98049,                0.99199,                0.84948,                0.45462,                 0.2164,                0.88732,              0.0013672,              0.0013672,              0.0013672
                    220,                0.49626,                0.23448,                0.81003,                0.98355,                0.98043,                0.99206,                0.84934,                0.45469,                0.21684,                0.88733,              0.0013276,              0.0013276,              0.0013276
                    221,                0.49446,                0.23372,                0.80939,                0.98353,                0.98054,                0.99214,                0.84924,                0.45473,                0.21683,                0.88734,               0.001288,               0.001288,               0.001288
                    222,                0.49903,                0.23471,                0.81063,                0.98344,                0.98059,                0.99207,                0.84934,                0.45461,                0.21687,                0.88737,              0.0012484,              0.0012484,              0.0012484
                    223,                0.49336,                0.23258,                0.80922,                0.98351,                0.98054,                0.99207,                 0.8494,                0.45463,                0.21711,                0.88745,              0.0012088,              0.0012088,              0.0012088
                    224,                0.49933,                0.23538,                0.80949,                0.98292,                0.98131,                0.99213,                0.84914,                0.45471,                0.21729,                0.88751,              0.0011692,              0.0011692,              0.0011692
                    225,                0.49396,                0.23277,                0.81011,                0.98288,                0.98151,                0.99208,                0.84917,                0.45472,                0.21739,                0.88754,              0.0011296,              0.0011296,              0.0011296
                    226,                0.49164,                0.23199,                0.80874,                0.98295,                0.98146,                0.99199,                0.84945,                0.45477,                0.21735,                 0.8876,                0.00109,                0.00109,                0.00109
                    227,                0.48772,                0.22973,                0.81023,                0.98288,                0.98146,                  0.992,                0.84952,                0.45451,                0.21724,                0.88757,              0.0010504,              0.0010504,              0.0010504
                    228,                0.48695,                0.23024,                0.80767,                0.98293,                0.98146,                0.99199,                0.84946,                0.45467,                0.21713,                0.88793,              0.0010108,              0.0010108,              0.0010108
                    229,                0.48726,                0.23025,                0.80887,                0.98279,                0.98151,                0.99202,                0.84973,                0.45451,                0.21748,                0.88785,              0.0009712,              0.0009712,              0.0009712
                    230,                0.48694,                0.22941,                0.80906,                0.98258,                0.98155,                0.99203,                0.84979,                0.45424,                0.21766,                0.88765,              0.0009316,              0.0009316,              0.0009316
                    231,                0.48516,                0.22912,                0.80863,                0.98253,                0.98159,                  0.992,                0.84972,                0.45442,                  0.218,                0.88767,               0.000892,               0.000892,               0.000892
                    232,                0.48284,                0.22832,                0.80656,                0.98253,                0.98165,                0.99206,                0.84973,                0.45448,                0.21802,                0.88776,              0.0008524,              0.0008524,              0.0008524
                    233,                0.47975,                0.22642,                0.80865,                0.98263,                 0.9818,                0.99208,                0.84993,                0.45438,                0.21815,                 0.8878,              0.0008128,              0.0008128,              0.0008128
                    234,                0.48809,                0.22989,                0.80885,                0.98264,                0.98197,                0.99203,                0.84998,                0.45442,                0.21832,                0.88793,              0.0007732,              0.0007732,              0.0007732
                    235,                0.48022,                0.22637,                0.80684,                 0.9827,                0.98188,                0.99204,                0.85025,                0.45448,                0.21873,                0.88803,              0.0007336,              0.0007336,              0.0007336
                    236,                 0.4769,                0.22438,                0.80663,                0.98278,                0.98175,                0.99205,                0.84997,                0.45456,                0.21912,                0.88818,               0.000694,               0.000694,               0.000694
                    237,                0.48103,                0.22605,                 0.8071,                0.98294,                0.98177,                 0.9921,                0.85004,                0.45482,                0.21931,                0.88828,              0.0006544,              0.0006544,              0.0006544
                    238,                 0.4774,                0.22397,                0.80752,                0.98292,                0.98172,                0.99211,                0.85001,                0.45482,                0.21927,                0.88831,              0.0006148,              0.0006148,              0.0006148
                    239,                0.48248,                0.22628,                0.80642,                0.98294,                0.98171,                0.99212,                0.85042,                0.45445,                0.21945,                0.88831,              0.0005752,              0.0005752,              0.0005752
                    240,                0.48038,                0.22487,                0.80725,                0.98299,                0.98171,                0.99212,                 0.8505,                0.45435,                0.21958,                0.88835,              0.0005356,              0.0005356,              0.0005356
                    241,                0.47251,                 0.2207,                0.79317,                0.98299,                0.98166,                0.99212,                0.85068,                0.45438,                0.21968,                0.88842,               0.000496,               0.000496,               0.000496
                    242,                0.46481,                0.21683,                0.79286,                0.98294,                0.98173,                0.99212,                0.85047,                0.45445,                0.21988,                0.88859,              0.0004564,              0.0004564,              0.0004564
                    243,                0.46196,                0.21571,                0.79267,                0.98283,                0.98171,                0.99213,                0.85064,                 0.4547,                0.22019,                0.88882,              0.0004168,              0.0004168,              0.0004168
                    244,                0.45895,                0.21473,                0.79085,                0.98272,                0.98193,                0.99214,                0.85092,                0.45431,                0.22056,                0.88884,              0.0003772,              0.0003772,              0.0003772
                    245,                 0.4592,                0.21422,                0.79074,                0.98273,                 0.9818,                0.99212,                0.85081,                0.45462,                0.22082,                0.88888,              0.0003376,              0.0003376,              0.0003376
                    246,                0.45831,                0.21325,                0.79123,                0.98304,                0.98177,                0.99212,                0.85072,                0.45471,                 0.2208,                0.88895,               0.000298,               0.000298,               0.000298
                    247,                0.45944,                0.21543,                0.79171,                0.98299,                0.98192,                0.99209,                0.85089,                0.45475,                0.22122,                 0.8891,              0.0002584,              0.0002584,              0.0002584
                    248,                0.45518,                 0.2115,                0.79128,                0.98271,                0.98218,                 0.9921,                0.85093,                0.45472,                0.22138,                0.88922,              0.0002188,              0.0002188,              0.0002188
                    249,                0.45647,                0.21218,                0.79167,                0.98263,                0.98218,                 0.9921,                0.85102,                0.45471,                0.22142,                0.88933,              0.0001792,              0.0001792,              0.0001792
                    250,                0.45056,                0.21014,                 0.7906,                0.98267,                0.98229,                0.99208,                0.85099,                0.45492,                0.22169,                0.88947,              0.0001396,              0.0001396,              0.0001396
