                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.72133,                0.34959,                0.84958,                0.97585,                0.96744,                0.99075,                0.80438,                0.50615,                0.25586,                0.89119,               0.008614,               0.008614,               0.008614
                     37,                0.72614,                0.34968,                0.85031,                0.97721,                0.97003,                0.99154,                  0.801,                0.51748,                0.25484,                0.88991,              0.0085744,              0.0085744,              0.0085744
                     38,                0.72101,                0.34836,                0.85085,                 0.9707,                0.96878,                0.99092,                0.79548,                0.51677,                0.25774,                0.88917,              0.0085348,              0.0085348,              0.0085348
                     39,                0.72112,                0.34659,                0.85056,                0.97805,                0.96581,                 0.9912,                0.80835,                0.51063,                0.25356,                0.88889,              0.0084952,              0.0084952,              0.0084952
                     40,                0.71279,                0.34256,                0.84849,                0.97527,                0.96895,                0.99118,                0.79735,                 0.5148,                0.25354,                0.89038,              0.0084556,              0.0084556,              0.0084556
                     41,                0.70517,                0.34093,                0.84685,                0.97625,                0.96533,                0.99076,                 0.8007,                0.50838,                0.25154,                0.88969,               0.008416,               0.008416,               0.008416
                     42,                0.70721,                 0.3415,                0.84699,                0.97757,                0.96643,                0.99119,                0.80172,                0.50702,                0.25391,                0.88076,              0.0083764,              0.0083764,              0.0083764
                     43,                0.70451,                0.34083,                0.84745,                0.97673,                0.96815,                0.99178,                0.80692,                 0.5048,                0.24712,                0.88884,              0.0083368,              0.0083368,              0.0083368
                     44,                0.70322,                0.33874,                0.84429,                0.98006,                0.96859,                0.99163,                0.80861,                0.50384,                0.24795,                0.88391,              0.0082972,              0.0082972,              0.0082972
                     45,                0.69891,                0.33695,                0.84547,                0.97366,                0.96962,                0.99094,                0.80668,                0.49939,                 0.2457,                 0.8864,              0.0082576,              0.0082576,              0.0082576
                     46,                0.69992,                0.33767,                0.84572,                0.98103,                0.96571,                0.99151,                0.80391,                 0.5033,                0.24598,                0.88177,               0.008218,               0.008218,               0.008218
